equipment_id,name_de,name_en,category,selection_group,default_available,full_gym,implies_equipment_ids
BODY,Körpergewicht,Bodyweight,Basisausstattung,Kein Equipment,True,True,
FLOOR,Freie Bodenfläche,Floor Space,Basisausstattung,Kein Equipment,True,True,
MAT,Trainingsmatte,Exercise Mat,Basisausstattung,Kleinzubehör,False,True,
WALL,Wand,Wall,Basisausstattung,Kein Equipment,True,True,
CHAIR,Stabiler Stuhl,Chair,Basisausstattung,Haushalt,False,True,
BENCH,Flachbank,Flat Bench,Bank/Podest,Trainingsbank,False,True,
ADJ_BENCH,Verstellbare Trainingsbank,Adjustable Bench,Bank/Podest,Trainingsbank,False,True,BENCH
BOX,Plyo-Box,Plyo Box,Bank/Podest,Functional Training,False,True,
STEP,Step/Erhöhung,Step Platform,Bank/Podest,Kleinzubehör,False,True,
SLIDERS,Gleitpads/Slider,Sliders,Kleinzubehör,Kleinzubehör,False,True,
SLANT_BOARD,Keilbrett/Slant Board,Slant Board,Kleinzubehör,Kleinzubehör,False,True,
DUMBBELL,Kurzhantel(n),Dumbbell(s),Freie Gewichte,Kurzhanteln,False,True,
BARBELL,Langhantel,Barbell,Freie Gewichte,Langhantel,False,True,
PLATES,Hantelscheiben,Weight Plates,Freie Gewichte,Langhantel,False,True,
RACK,Kniebeugenständer/Power Rack,Power Rack,Freie Gewichte,Langhantel mit Rack,False,True,
EZ_BAR,SZ-Stange,EZ Curl Bar,Freie Gewichte,Spezialhanteln,False,True,
TRAP_BAR,Trap-/Hex-Bar,Trap Bar,Freie Gewichte,Spezialhanteln,False,True,
SSB,Safety-Squat-Bar,Safety Squat Bar,Freie Gewichte,Spezialhanteln,False,True,
SWISS_BAR,Multi-Grip-/Swiss-Bar,Swiss Bar,Freie Gewichte,Spezialhanteln,False,True,
KETTLEBELL,Kettlebell(s),Kettlebell(s),Freie Gewichte,Kettlebell,False,True,
WEIGHT_VEST,Gewichtsweste,Weight Vest,Freie Gewichte,Kleinzubehör,False,True,
