equipment_id,equipment_name_de,direct_exercise_count,selection_group,full_gym,default_available
BODY,Körpergewicht,483,Kein Equipment,True,True
FLOOR,Freie Bodenfläche,353,Kein Equipment,True,True
MAT,Trainingsmatte,141,Kleinzubehör,True,False
WALL,Wand,31,Kein Equipment,True,True
CHAIR,Stabiler Stuhl,1,Haushalt,True,False
BENCH,Flachbank,141,Trainingsbank,True,False
ADJ_BENCH,Verstellbare Trainingsbank,48,Trainingsbank,True,False
BOX,Plyo-Box,58,Functional Training,True,False
STEP,Step/Erhöhung,16,Kleinzubehör,True,False
SLIDERS,Gleitpads/Slider,5,Kleinzubehör,True,False
SLANT_BOARD,Keilbrett/Slant Board,4,Kleinzubehör,True,False
DUMBBELL,Kurzhantel(n),201,Kurzhanteln,True,False
BARBELL,Langhantel,184,Langhantel,True,False
PLATES,Hantelscheiben,268,Langhantel,True,False
RACK,Kniebeugenständer/Power Rack,90,Langhantel mit Rack,True,False
EZ_BAR,SZ-Stange,13,Spezialhanteln,True,False
TRAP_BAR,Trap-/Hex-Bar,7,Spezialhanteln,True,False
SSB,Safety-Squat-Bar,5,Spezialhanteln,True,False
SWISS_BAR,Multi-Grip-/Swiss-Bar,4,Spezialhanteln,True,False
KETTLEBELL,Kettlebell(s),113,Kettlebell,True,False
WEIGHT_VEST,Gewichtsweste,1,Kleinzubehör,True,False
ANKLE_WEIGHTS,Fuss-/Knöchelgewichte,1,Kleinzubehör,True,False
PULLUP_BAR,Klimmzugstange,33,Klimmzugstange,True,False
DIP_BARS,Dip-Barren/Parallelbarren,7,Dip-Barren,True,False
PARALLETTES,Parallettes/Liegestützgriffe,6,Kleinzubehör,True,False
RINGS,Turnringe,17,Turnringe,True,False
TRX,Schlingentrainer/TRX,31,TRX/Schlingentrainer,True,False
BAND,Langes Widerstandsband,62,Widerstandsbänder,True,False
MINIBAND,Miniband/Loop-Band,10,Widerstandsbänder,True,False
TUBE_BAND,Tube-Band mit Griffen,1,Widerstandsbänder,True,False
CABLE,Einfacher Kabelzug,98,Kabelzug,True,False
DUAL_CABLE,Doppel-Kabelzug/Crossover,14,Kabelzug,True,False
