preset_id,preset_name_de,equipment_id,equipment_name_de
PRESET_BODY,Kein Equipment,BODY,Körpergewicht
PRESET_BODY,Kein Equipment,FLOOR,Freie Bodenfläche
PRESET_BODY,Kein Equipment,WALL,Wand
PRESET_BODY_MAT,Körpergewicht + Matte,BODY,Körpergewicht
PRESET_BODY_MAT,Körpergewicht + Matte,FLOOR,Freie Bodenfläche
PRESET_BODY_MAT,Körpergewicht + Matte,MAT,Trainingsmatte
PRESET_BODY_MAT,Körpergewicht + Matte,WALL,Wand
PRESET_DUMBBELL,Kurzhanteln,BODY,Körpergewicht
PRESET_DUMBBELL,Kurzhanteln,DUMBBELL,Kurzhantel(n)
PRESET_DUMBBELL,Kurzhanteln,FLOOR,Freie Bodenfläche
PRESET_DUMBBELL,Kurzhanteln,WALL,Wand
PRESET_DUMBBELL_BENCH,Kurzhanteln + verstellbare Bank,ADJ_BENCH,Verstellbare Trainingsbank
PRESET_DUMBBELL_BENCH,Kurzhanteln + verstellbare Bank,BENCH,Flachbank
PRESET_DUMBBELL_BENCH,Kurzhanteln + verstellbare Bank,BODY,Körpergewicht
PRESET_DUMBBELL_BENCH,Kurzhanteln + verstellbare Bank,DUMBBELL,Kurzhantel(n)
PRESET_DUMBBELL_BENCH,Kurzhanteln + verstellbare Bank,FLOOR,Freie Bodenfläche
PRESET_DUMBBELL_BENCH,Kurzhanteln + verstellbare Bank,WALL,Wand
PRESET_BARBELL,Langhantel + Scheiben,BARBELL,Langhantel
PRESET_BARBELL,Langhantel + Scheiben,BODY,Körpergewicht
PRESET_BARBELL,Langhantel + Scheiben,FLOOR,Freie Bodenfläche
PRESET_BARBELL,Langhantel + Scheiben,PLATES,Hantelscheiben
PRESET_BARBELL,Langhantel + Scheiben,WALL,Wand
PRESET_BARBELL_RACK,Langhantel + Rack + Bank,ADJ_BENCH,Verstellbare Trainingsbank
PRESET_BARBELL_RACK,Langhantel + Rack + Bank,BARBELL,Langhantel
PRESET_BARBELL_RACK,Langhantel + Rack + Bank,BENCH,Flachbank
PRESET_BARBELL_RACK,Langhantel + Rack + Bank,BODY,Körpergewicht
PRESET_BARBELL_RACK,Langhantel + Rack + Bank,FLOOR,Freie Bodenfläche
PRESET_BARBELL_RACK,Langhantel + Rack + Bank,PLATES,Hantelscheiben
PRESET_BARBELL_RACK,Langhantel + Rack + Bank,RACK,Kniebeugenständer/Power Rack
PRESET_BARBELL_RACK,Langhantel + Rack + Bank,WALL,Wand
PRESET_KETTLEBELL,Kettlebell,BODY,Körpergewicht
PRESET_KETTLEBELL,Kettlebell,FLOOR,Freie Bodenfläche
PRESET_KETTLEBELL,Kettlebell,KETTLEBELL,Kettlebell(s)
PRESET_KETTLEBELL,Kettlebell,WALL,Wand
PRESET_PULLUP,Klimmzugstange,BODY,Körpergewicht
PRESET_PULLUP,Klimmzugstange,FLOOR,Freie Bodenfläche
PRESET_PULLUP,Klimmzugstange,PULLUP_BAR,Klimmzugstange
PRESET_PULLUP,Klimmzugstange,WALL,Wand
PRESET_BANDS,Widerstandsbänder,BAND,Langes Widerstandsband
PRESET_BANDS,Widerstandsbänder,BODY,Körpergewicht
PRESET_BANDS,Widerstandsbänder,FLOOR,Freie Bodenfläche
PRESET_BANDS,Widerstandsbänder,MINIBAND,Miniband/Loop-Band
PRESET_BANDS,Widerstandsbänder,TUBE_BAND,Tube-Band mit Griffen
PRESET_BANDS,Widerstandsbänder,WALL,Wand
PRESET_TRX,Schlingentrainer / TRX,BODY,Körpergewicht
PRESET_TRX,Schlingentrainer / TRX,FLOOR,Freie Bodenfläche
PRESET_TRX,Schlingentrainer / TRX,TRX,Schlingentrainer/TRX
PRESET_TRX,Schlingentrainer / TRX,WALL,Wand
PRESET_RINGS,Turnringe,BODY,Körpergewicht
PRESET_RINGS,Turnringe,FLOOR,Freie Bodenfläche
PRESET_RINGS,Turnringe,RINGS,Turnringe
PRESET_RINGS,Turnringe,WALL,Wand
PRESET_HOME_COMPLETE,Gut ausgestattetes Home Gym,ADJ_BENCH,Verstellbare Trainingsbank
PRESET_HOME_COMPLETE,Gut ausgestattetes Home Gym,BAND,Langes Widerstandsband
PRESET_HOME_COMPLETE,Gut ausgestattetes Home Gym,BARBELL,Langhantel
PRESET_HOME_COMPLETE,Gut ausgestattetes Home Gym,BENCH,Flachbank
PRESET_HOME_COMPLETE,Gut ausgestattetes Home Gym,BODY,Körpergewicht
PRESET_HOME_COMPLETE,Gut ausgestattetes Home Gym,DUMBBELL,Kurzhantel(n)
PRESET_HOME_COMPLETE,Gut ausgestattetes Home Gym,FLOOR,Freie Bodenfläche
PRESET_HOME_COMPLETE,Gut ausgestattetes Home Gym,KETTLEBELL,Kettlebell(s)
