exercise_id,exercise_name_de,muscle_id,muscle_name_de,role,contribution_weight_1_5,role_order,muscle_size_1_5,region
EX000001,Air Bike moderat,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000001,Air Bike moderat,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000001,Air Bike moderat,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000001,Air Bike moderat,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000001,Air Bike moderat,FRONT_DELTS,Vordere Schulter,secondary,2,4,2,Oberkörper
EX000001,Air Bike moderat,LATS,Latissimus,secondary,2,5,4,Oberkörper
EX000001,Air Bike moderat,TRICEPS,Trizeps,secondary,2,6,3,Oberkörper
EX000002,Air Bike Sprint,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000002,Air Bike Sprint,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000002,Air Bike Sprint,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000002,Air Bike Sprint,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000002,Air Bike Sprint,FRONT_DELTS,Vordere Schulter,secondary,2,4,2,Oberkörper
EX000002,Air Bike Sprint,LATS,Latissimus,secondary,2,5,4,Oberkörper
EX000002,Air Bike Sprint,TRICEPS,Trizeps,secondary,2,6,3,Oberkörper
EX000003,Aquajogging,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000003,Aquajogging,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000003,Aquajogging,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000003,Aquajogging,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000003,Aquajogging,HIP_FLEXORS,Hüftbeuger,secondary,2,4,2,Unterkörper
EX000003,Aquajogging,ABS,Gerade Bauchmuskulatur,secondary,2,5,3,Rumpf
EX000004,Bergauflauf im Freien,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000004,Bergauflauf im Freien,GLUTES,Gesässmuskulatur,secondary,3,1,5,Unterkörper
EX000004,Bergauflauf im Freien,QUADS,Quadrizeps,secondary,3,2,5,Unterkörper
EX000004,Bergauflauf im Freien,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000004,Bergauflauf im Freien,CALVES,Wadenmuskulatur,secondary,2,4,3,Unterkörper
EX000004,Bergauflauf im Freien,ABS,Gerade Bauchmuskulatur,secondary,2,5,3,Rumpf
EX000005,Crosstrainer rückwärts,QUADS,Quadrizeps,primary,5,1,5,Unterkörper
EX000005,Crosstrainer rückwärts,GLUTES,Gesässmuskulatur,secondary,3,1,5,Unterkörper
EX000005,Crosstrainer rückwärts,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,2,4,Unterkörper
EX000005,Crosstrainer rückwärts,CALVES,Wadenmuskulatur,secondary,3,3,3,Unterkörper
EX000006,Crosstrainer vorwärts,FULL_BODY,Ganzkörper,primary,5,1,5,Ganzkörper
EX000006,Crosstrainer vorwärts,QUADS,Quadrizeps,secondary,3,1,5,Unterkörper
EX000006,Crosstrainer vorwärts,GLUTES,Gesässmuskulatur,secondary,3,2,5,Unterkörper
EX000006,Crosstrainer vorwärts,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,3,4,Unterkörper
EX000006,Crosstrainer vorwärts,CALVES,Wadenmuskulatur,secondary,2,4,3,Unterkörper
EX000006,Crosstrainer vorwärts,FRONT_DELTS,Vordere Schulter,secondary,2,5,2,Oberkörper
EX000006,Crosstrainer vorwärts,LATS,Latissimus,secondary,2,6,4,Oberkörper
EX000007,Ergometer im Stehen,QUADS,Quadrizeps,primary,5,1,5,Unterkörper
EX000007,Ergometer im Stehen,GLUTES,Gesässmuskulatur,secondary,3,1,5,Unterkörper
EX000007,Ergometer im Stehen,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,2,4,Unterkörper
EX000007,Ergometer im Stehen,CALVES,Wadenmuskulatur,secondary,3,3,3,Unterkörper
EX000007,Ergometer im Stehen,ABS,Gerade Bauchmuskulatur,secondary,2,4,3,Rumpf
EX000008,Ergometer locker,QUADS,Quadrizeps,primary,5,1,5,Unterkörper
EX000008,Ergometer locker,GLUTES,Gesässmuskulatur,secondary,3,1,5,Unterkörper
EX000008,Ergometer locker,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,2,4,Unterkörper
EX000008,Ergometer locker,CALVES,Wadenmuskulatur,secondary,3,3,3,Unterkörper
EX000009,Ergometer moderat,QUADS,Quadrizeps,primary,5,1,5,Unterkörper
EX000009,Ergometer moderat,GLUTES,Gesässmuskulatur,secondary,3,1,5,Unterkörper
EX000009,Ergometer moderat,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,2,4,Unterkörper
EX000009,Ergometer moderat,CALVES,Wadenmuskulatur,secondary,3,3,3,Unterkörper
EX000010,Ergometer-Sprint,QUADS,Quadrizeps,primary,5,1,5,Unterkörper
EX000010,Ergometer-Sprint,GLUTES,Gesässmuskulatur,secondary,3,1,5,Unterkörper
EX000010,Ergometer-Sprint,HAMSTRINGS,Hintere Oberschenkelmuskulatur,secondary,3,2,4,Unterkörper
