exercise_id,canonical_key,name_de,name_en,aliases_de,aliases_en,search_terms,family_id,family_de,category_id,category_de,pattern_id,pattern_de,force_id,force_de,mechanic_id,mechanic_de,is_compound,compound_class_de,primary_muscle_id,primary_muscle_de,primary_muscle_size_1_5,primary_muscle_size_class,secondary_muscle_ids,secondary_muscles_de,secondary_muscle_count,body_region,required_equipment_ids,required_equipment_de,equipment_count,primary_equipment_id,primary_equipment_de,dynamic_joints_count,involved_muscle_mass_1_5,whole_body_demand_1_5,loadability_1_5,scalability_1_5,stability_demand_1_5,skill_demand_1_5,fatigue_cost_1_5,commonness_1_5,difficulty_1_5,difficulty_de,compound_score,priority_score,program_priority,unilateral,bodyweight,closed_chain,requires_coaching,variant_level_1_3,variant_level_de,training_goals,plan_eligible,recommended_default_display,notes,source_method,license_note,review_status,slug_de
EX000001,air-bike-moderat__air-bike,Air Bike moderat,Moderate Air Bike,,,Air Bike moderat | Moderate Air Bike | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Vordere Schulter | Latissimus | Trizeps | Air Bike,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | HAMSTRINGS | FRONT_DELTS | LATS | TRICEPS,Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Vordere Schulter | Latissimus | Trizeps,6,Ganzkörper,AIR_BIKE,Air Bike,1,AIR_BIKE,Air Bike,4,5,5,1,5,3,2,4,5,2,Leicht,89,78,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,air-bike-moderat
EX000002,air-bike-sprint__air-bike,Air Bike Sprint,Air Bike Sprint,,,Air Bike Sprint | Air Bike Sprint | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Vordere Schulter | Latissimus | Trizeps | Air Bike,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | HAMSTRINGS | FRONT_DELTS | LATS | TRICEPS,Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Vordere Schulter | Latissimus | Trizeps,6,Ganzkörper,AIR_BIKE,Air Bike,1,AIR_BIKE,Air Bike,4,5,5,1,5,4,3,4,5,3,Mittel,89,78,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,air-bike-sprint
EX000003,aquajogging__pool,Aquajogging,Aqua Jogging,,,Aquajogging | Aqua Jogging | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Hüftbeuger | Gerade Bauchmuskulatur | Schwimmbecken,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | HAMSTRINGS | HIP_FLEXORS | ABS,Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Hüftbeuger | Gerade Bauchmuskulatur,5,Ganzkörper,POOL,Schwimmbecken,1,POOL,Schwimmbecken,4,4,5,1,5,4,2,4,3,2,Leicht,83,68,Ausdauerübung,False,False,True,False,2,Gängige Variante,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,aquajogging
EX000004,bergauflauf-im-freien__outdoor,Bergauflauf im Freien,Outdoor Hill Running,,,Bergauflauf im Freien | Outdoor Hill Running | Ausdauer und Cardio | Ganzkörper | Gesässmuskulatur | Quadrizeps | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Gerade Bauchmuskulatur | Outdoor-Strecke,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,GLUTES | QUADS | HAMSTRINGS | CALVES | ABS,Gesässmuskulatur | Quadrizeps | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Gerade Bauchmuskulatur,5,Ganzkörper,OUTDOOR,Outdoor-Strecke,1,OUTDOOR,Outdoor-Strecke,4,5,5,1,4,5,4,4,4,4,Fortgeschritten,89,68,Ausdauerübung,False,False,True,False,2,Gängige Variante,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,bergauflauf-im-freien
EX000005,crosstrainer-ruckwarts__elliptical,Crosstrainer rückwärts,Reverse Elliptical,,,Crosstrainer rückwärts | Reverse Elliptical | Ausdauer und Cardio | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Crosstrainer,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,QUADS,Quadrizeps,5,sehr gross,GLUTES | HAMSTRINGS | CALVES,Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur,3,Unterkörper,ELLIPTICAL,Crosstrainer,1,ELLIPTICAL,Crosstrainer,4,4,4,1,5,4,2,4,4,2,Leicht,81,70,Ausdauerübung,False,False,True,False,2,Gängige Variante,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,crosstrainer-ruckwarts
EX000006,crosstrainer-vorwarts__elliptical,Crosstrainer vorwärts,Forward Elliptical,,,Crosstrainer vorwärts | Forward Elliptical | Ausdauer und Cardio | Ganzkörper | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Vordere Schulter | Latissimus | Crosstrainer,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,FULL_BODY,Ganzkörper,5,sehr gross,QUADS | GLUTES | HAMSTRINGS | CALVES | FRONT_DELTS | LATS,Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Vordere Schulter | Latissimus,6,Ganzkörper,ELLIPTICAL,Crosstrainer,1,ELLIPTICAL,Crosstrainer,4,4,5,1,5,3,1,4,5,1,Einsteiger,83,75,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,crosstrainer-vorwarts
EX000007,ergometer-im-stehen__bike,Ergometer im Stehen,Standing Stationary Cycling,,,Ergometer im Stehen | Standing Stationary Cycling | Ausdauer und Cardio | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Gerade Bauchmuskulatur | Fahrradergometer/Spinning-Bike,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,QUADS,Quadrizeps,5,sehr gross,GLUTES | HAMSTRINGS | CALVES | ABS,Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Gerade Bauchmuskulatur,4,Unterkörper,BIKE,Fahrradergometer/Spinning-Bike,1,BIKE,Fahrradergometer/Spinning-Bike,4,4,4,1,5,4,3,4,4,3,Mittel,81,70,Ausdauerübung,False,False,True,False,2,Gängige Variante,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,ergometer-im-stehen
EX000008,ergometer-locker__bike,Ergometer locker,Easy Stationary Cycling,,,Ergometer locker | Easy Stationary Cycling | Ausdauer und Cardio | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Fahrradergometer/Spinning-Bike,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Hohe Mehrgelenkigkeit,QUADS,Quadrizeps,5,sehr gross,GLUTES | HAMSTRINGS | CALVES,Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur,3,Unterkörper,BIKE,Fahrradergometer/Spinning-Bike,1,BIKE,Fahrradergometer/Spinning-Bike,4,3,4,1,5,2,1,4,5,1,Einsteiger,75,71,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,ergometer-locker
EX000009,ergometer-moderat__bike,Ergometer moderat,Moderate Stationary Cycling,,,Ergometer moderat | Moderate Stationary Cycling | Ausdauer und Cardio | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Fahrradergometer/Spinning-Bike,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Hohe Mehrgelenkigkeit,QUADS,Quadrizeps,5,sehr gross,GLUTES | HAMSTRINGS | CALVES,Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur,3,Unterkörper,BIKE,Fahrradergometer/Spinning-Bike,1,BIKE,Fahrradergometer/Spinning-Bike,4,3,4,1,5,2,2,4,5,2,Leicht,75,71,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,ergometer-moderat
EX000010,ergometer-sprint__bike,Ergometer-Sprint,Stationary Bike Sprint,,,Ergometer-Sprint | Stationary Bike Sprint | Ausdauer und Cardio | Quadrizeps | Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur | Fahrradergometer/Spinning-Bike,FAM_CARDIO,Ausdauer und Cardio,cardio,Ausdauer,cardio,Zyklische Ausdauer,locomotion,Fortbewegung,cyclical,Zyklisch,True,Sehr hohe Mehrgelenkigkeit,QUADS,Quadrizeps,5,sehr gross,GLUTES | HAMSTRINGS | CALVES,Gesässmuskulatur | Hintere Oberschenkelmuskulatur | Wadenmuskulatur,3,Unterkörper,BIKE,Fahrradergometer/Spinning-Bike,1,BIKE,Fahrradergometer/Spinning-Bike,4,4,4,1,5,3,3,4,5,3,Mittel,81,74,Ausdauerübung,False,False,True,False,1,Kernübung,Ausdauer | Herz-Kreislauf | Gesundheit,False,True,,Eigene redaktionelle Taxonomie; Übungsnamen und Klassifikation,Originale Zusammenstellung; keine Bilder oder Fremdbeschreibungen enthalten,redaktionell erzeugt; fachliche Endprüfung vor Produktion empfohlen,ergometer-sprint
