family_id,family_de,exercise_count,categories,category_ids,patterns,pattern_ids,primary_muscles,default_display_count,compound_count,min_difficulty,max_difficulty,average_priority_score
FAM_ADDUCTOR_MOBILITY,Adduktoren-Mobilität,6,Mobilität/Dehnung,mobility,Mobilität/Dehnung,mobility,Adduktoren,6,0,1,3,50.5
FAM_ANKLE_MOBILITY,Sprunggelenk-Mobilität,8,Mobilität/Dehnung,mobility,Mobilität/Dehnung,mobility,Schienbeinmuskel | Wadenmuskulatur,8,0,1,2,43.2
FAM_ARM_MOBILITY,Arm-Mobilität,2,Mobilität/Dehnung,mobility,Mobilität/Dehnung,mobility,Bizeps | Trizeps,2,0,1,1,43
FAM_BACK_EXTENSION,Rücken- und Hüftstreckung,25,Krafttraining,strength,Hüftbeuge (Hinge),hinge,Gesässmuskulatur | Rückenstrecker,22,20,1,5,68.2
FAM_BARBELL_ROW,Langhantel-/Landmine-Rudern,16,Krafttraining,strength,Horizontal ziehen,horizontal_pull,Hintere Schulter | Latissimus | Rhomboiden und mittlerer Rücken,11,16,2,4,83.8
FAM_BENCH_PRESS,Bankdrücken,18,Krafttraining,strength,Horizontal drücken,horizontal_push,Brustmuskulatur | Trizeps,8,18,3,5,81.8
FAM_BW_VERTICAL_PRESS,Vertikales Drücken mit Körpergewicht,10,Krafttraining | Rumpftraining,core | strength,Vertikal drücken,vertical_push,Vordere Schulter,6,9,2,5,59.7
FAM_CABLE_ROW,Kabel-/Maschinenrudern,15,Krafttraining,strength,Horizontal ziehen,horizontal_pull,Hintere Schulter | Latissimus | Rhomboiden und mittlerer Rücken,15,15,1,2,82.9
FAM_CALF,Wade/Sprunggelenk,18,Krafttraining | Plyometrie,plyometric | strength,Springen | Sprunggelenk/Wade,calf | jump,Schienbeinmuskel | Wadenmuskulatur,18,1,1,3,57.5
FAM_CARDIO,Ausdauer und Cardio,35,Ausdauer,cardio,Zyklische Ausdauer,cardio,Ganzkörper | Gesässmuskulatur | Latissimus | Quadrizeps,34,35,1,5,71.9
FAM_CARRY,Loaded Carries und Halteübungen,40,Kondition/Functional | Krafttraining,conditioning | strength,Tragen/Halten,carry,Ganzkörper | Seitliche Bauchmuskulatur | Unterarmmuskulatur,32,39,2,5,85.0
FAM_CHEST_FLY,Brust-Flys,20,Krafttraining,strength,Horizontal drücken,horizontal_push,Brustmuskulatur,19,0,1,4,57.1
FAM_CHEST_MOBILITY,Brust- und Schulter-Mobilität,3,Mobilität/Dehnung,mobility,Mobilität/Dehnung,mobility,Brustmuskulatur,3,0,1,1,43.7
FAM_CONDITIONING,Kondition und Arbeitskapazität,35,Kondition/Functional,conditioning,Fortbewegung | Horizontal ziehen | Hüftbeuge (Hinge) | Tragen/Halten | Vertikal ziehen | Werfen/Schlagen,carry | hinge | horizontal_pull | locomotion | throw | vertical_pull,Ganzkörper | Gesässmuskulatur | Hüftabduktoren | Latissimus | Quadrizeps | Seitliche Bauchmuskulatur | Vordere Schulter | Wadenmuskulatur,33,35,2,5,77.9
FAM_DB_PRESS,Kurzhantel-/Kettlebell-Drücken,17,Krafttraining,strength,Horizontal drücken,horizontal_push,Brustmuskulatur | Rotatorenmanschette | Trizeps,16,17,2,5,79.6
